fid,nombre_sitio,categoria,descripcion,estado,agua,asientos,experiencia_uso,longitud,latitud
1,pinpon_kruppstrasse,Pingpong,"Disfruta de una partida de ping-pong en esta mesa situada en un entorno urbano privilegiado. La instalación se encuentra sobre un suelo uniforme de baldosas de cemento dentro de un moderno parque infantil rodeado de edificios, lo que ayuda a cortar el viento y garantiza una mayor estabilidad durante el juego. La mesa cuenta con una superficie plana de acabado ligeramente rugoso y una red metálica rígida de alta durabilidad. Para mayor comodidad, dispone de un banco perfectamente ubicado para descansar o dejar pertenencias, papeleras cercanas y zonas de césped próximas para relajarse. Al estar ubicada en una zona residencial, se ruega mantener un ambiente respetuoso con los vecinos.",1,1,1,4,6.07369123610474,50.7822878890348
2,pinpon_kurpark,Pingpong,"Mesa de ping-pong de piedra rugosa con bordes y red de malla metálica, situada sobre una plataforma uniforme de cemento. La instalación conserva las líneas de juego marcadas y se encuentra dentro de un parque infantil vallado, muy cerca de uno de los accesos principales. Su ubicación estratégica ofrece cierta protección contra el viento y cuenta con un pequeño banco de metal justo enfrente para mayor comodidad de los usuarios.",1,0,1,3,6.09764091304876,50.7821680254728
3,futbol_kupark,Futbol,"Pista polideportiva de estilo fútbol sala ubicada en el corazón de un parque rodeado de árboles. El recinto destaca por su amplitud y por estar completamente vallado, reforzando la seguridad especialmente detrás de las porterías. Estas cuentan con una estructura de barras metálicas cerradas en lugar de redes convencionales. Aunque el terreno de juego es de tierra y grava, la instalación está bien equipada con papeleras, un banco y un espacio adicional tras una de las porterías ideal para realizar otras actividades físicas dentro del mismo recinto vallado.",1,0,1,4,6.09546327913262,50.7839570939312
4,esgrima_kupark,Esgrima,"Pista polivalente de suelo de baldosa, diseñada originalmente para la práctica de esgrima pero utilizada principalmente para patinaje y juegos recreativos. El recinto cuenta con un vallado perimetral de medio metro de altura con una abertura para el acceso y está rodeado casi en su totalidad por zonas ajardinadas. La instalación dispone de dos bancos y una papelera para los usuarios. Cabe destacar que el terreno presenta algunas irregularidades y baldosas levantadas debido al crecimiento de la vegetación, por lo que se recomienda precaución al circular con ruedas.",1,0,1,4,6.09324076189977,50.7835785473966
5,patinaje_kurpark,Patinaje,"Pista polivalente de suelo de baldosa, diseñada originalmente para la práctica de esgrima pero utilizada principalmente para patinaje y juegos recreativos. El recinto cuenta con un vallado perimetral de medio metro de altura con una abertura para el acceso y está rodeado casi en su totalidad por zonas ajardinadas. La instalación dispone de dos bancos y una papelera para los usuarios. Cabe destacar que el terreno presenta algunas irregularidades y baldosas levantadas debido al crecimiento de la vegetación, por lo que se recomienda precaución al circular con ruedas.",1,0,1,3,6.09330996178906,50.7835815131061
6,pingpon2_kupark,Pingpong,"Área de ping-pong compuesta por varias mesas situadas en un entorno agradable y tranquilo, alejado de las zonas de juegos infantiles. Las mesas se asientan sobre una base de cemento desgastada que se funde con tramos de tierra, creando un terreno irregular con presencia de algunos escalones. Aunque el recinto dispone de papeleras y bancos laterales, estos últimos se encuentran algo alejados, por lo que no resultan prácticos para vigilar el juego o depositar pertenencias mientras se practica el deporte. Al estar ubicado en una zona abierta del parque, la instalación es propensa a las corrientes de aire, factor a tener en cuenta para el desarrollo de las partidas.",2,0,1,3,6.09520787360785,50.7849675545058
7,minigolf_kupark,Minigolf,"Este campo de minigolf se encuentra integrado dentro del parque y ofrece un recorrido de 17 hoyos numerados en orden. Aunque las instalaciones presentan un aspecto algo descuidado o abandonado, el circuito sigue siendo funcional. El servicio de alquiler de material suele gestionarse en un quiosco cercano donde también se sirven bebidas, aunque es posible utilizar las pistas incluso cuando este se encuentra cerrado si se dispone de equipo propio. Se recomienda consultar su página web para obtener información actualizada sobre horarios y servicios.",1,0,1,5,6.09500929500342,50.7813766526062
8,volleyball_westpark,Volleyball,"Instalación compuesta por dos campos de voleibol situados en un entorno natural privilegiado, rodeados de árboles que proporcionan sombra durante gran parte del día. El terreno de juego es de tierra, variando su firmeza según la humedad del clima, mientras que el resto del área se mantiene verde y arbolada. Uno de los campos cuenta con una delimitación de ladrillos incrustados, aunque algunos tramos están cubiertos por el césped. Las redes son funcionales, aunque requieren ajustes manuales para una tensión óptima. Al no disponer de bancos, el descanso se realiza en el propio suelo o en una pequeña colina adyacente. Es un espacio ideal para partidas recreativas entre amigos, aunque su superficie de tierra no es la más recomendable para un juego competitivo que requiera lanzarse al suelo.",2,0,0,3,6.06645227146617,50.7713383690608
9,futbol_westpark,Futbol,"Pista de fútbol sala situada en un entorno natural rodeado de árboles, lo que garantiza sombra en gran parte del recinto. La instalación está equipada con porterías de hierro y redes de barrotes metálicos, todo dentro de un perímetro completamente vallado con protecciones altas tras las porterías. El terreno de juego, de dimensiones bien delimitadas por ladrillos incrustados y una valla baja, es de tierra compacta; esta superficie evita el polvo cuando hay humedad ambiental, aunque puede presentar charcos tras lluvias intensas. El recinto dispone de un banco y una papelera, siendo el espacio apto para partidos de cierta intensidad, teniendo en cuenta que el suelo es abrasivo. Su diseño cerrado facilita que el balón no se aleje de la zona de juego.",1,0,1,4,6.06639350453512,50.7716445041452
10,pumptrack_westpark,Patinaje,"Circuito de pumptrack de reciente construcción y en excelente estado de conservación. La pista cuenta con una superficie de material abrasivo de alta calidad que garantiza un agarre óptimo, ideal tanto para niños como para usuarios con mayor experiencia que busquen aprovechar la inclinación de sus curvas y sus pequeñas rampas de acceso. El circuito está ubicado en una zona abierta y soleada, rodeado completamente de áreas de césped. Aunque el diseño de la pista no permite sentarse en los bordes ni utilizarse como un skatepark tradicional, el entorno dispone de bancos y papeleras en las inmediaciones, donde es posible encontrar zonas de sombra dependiendo de la hora del día. Una instalación nueva, compacta y técnica perfecta para disfrutar del deporte al aire libre.",1,0,1,5,6.06619343299023,50.7722599809291
11,pinpon3_westpark,Pingpong,"Instalación de alta calidad compuesta por tres mesas de ping-pong situadas en un entorno privilegiado entre árboles en Aachen. Cada mesa dispone de su propio banco individual, lo que crea zonas independientes ideales para descansar, escuchar música o socializar mientras se espera el turno de juego. Las mesas presentan una superficie lisa, perfectamente pintada y con las líneas reglamentarias, además de contar con redes metálicas rígidas y esquinas de piedra reforzadas. El área de juego está delimitada por ladrillo y cuenta con suelo de baldosa uniforme para garantizar estabilidad. Aunque la ubicación entre el arbolado ofrece cierta protección contra el viento, la zona es algo susceptible a las corrientes de aire. Es un espacio con un ambiente excelente, equipado con papeleras y diseñado para ofrecer una experiencia deportiva y relajada.",1,0,1,5,6.06778215330329,50.7711569209549
12,baloncesto_westpark,Baloncesto,"Cancha de baloncesto exterior situada en un entorno abierto y arbolado, ideal para quienes buscan un espacio con sombra natural. La pista cuenta con una superficie de cemento de calidad aceptable y textura ligeramente rugosa, donde aún se distinguen las líneas de juego, incluyendo la línea de tres puntos. Las canastas son de estilo robusto y urbano, fabricadas íntegramente en hierro, incluyendo redes metálicas de alta resistencia. Al carecer de vallado perimetral, el balón puede salir de la zona de juego con frecuencia. Aunque no dispone de bancos directamente en la pista, el recinto se encuentra junto a una colina de gran inclinación, perfecta para descansar y relajarse tras la actividad. Una instalación con carácter, ideal para partidos informales o practicar lanzamientos.",2,0,0,3,6.06722544579148,50.7722555338507
