fid,name,sport,description,condition,water,seats,expirience,longitude,latitude
1,pinpon_kruppstrasse,Pingpong,"Enjoy a game of ping-pong at this table located in a privileged urban environment. The facility is situated on uniform concrete tile flooring within a modern playground surrounded by buildings, which helps block the wind and ensures greater stability during play. The table features a flat surface with a slightly rugged finish and a high-durability rigid metal net. For added comfort, it has a perfectly positioned bench for resting or leaving belongings, nearby trash cans, and close green areas for relaxing. Being located in a residential area, please maintain a respectful environment for neighbors.",1,1,1,4,6.07369123610474,50.7822878890348
2,pinpon_kurpark,Pingpong,"Rough stone ping-pong table with metal mesh edges and net, situated on a uniform cement platform. The facility retains marked playing lines and is located within a fenced playground, very close to one of the main entrances. Its strategic location offers some wind protection and features a small metal bench right in front for user comfort.",1,0,1,3,6.09764091304876,50.7821680254728
3,football_kupark,Football,"Multipurpose sports court for futsal located in the heart of a tree-lined park. The facility stands out for its spaciousness and for being completely fenced, which reinforces safety, especially behind the goals. These feature a structure of closed metal bars instead of conventional nets. Although the playing surface consists of dirt and gravel, the facility is well-equipped with trash cans, a bench, and an additional space behind one of the goals, ideal for performing other physical activities within the same fenced enclosure.",1,0,1,4,6.09546327913262,50.7839570939312
4,fencing_kupark,Fencing,"Multi-purpose court with tile flooring, originally designed for Fencing practice but mainly used for Skating and recreational games. The enclosure features a perimeter fence half a meter high with an opening for access and is almost entirely surrounded by landscaped garden areas. The facility provides two benches and a trash can for users. It is worth noting that the ground shows some irregularities and raised tiles due to vegetation growth, so caution is recommended when moving on wheels.",1,0,1,4,6.09324076189977,50.7835785473966
5,skating_kurpark,Skating,"Multi-purpose court with tile flooring, originally designed for the practice of Fencing but mainly used for Skating and recreational games. The enclosure features a perimeter fence half a meter high with an opening for access and is almost entirely surrounded by landscaped garden areas. The facility provides two benches and a trash can for users. It is worth noting that the ground shows some irregularities and raised tiles due to vegetation growth, so caution is recommended when moving on wheels.",1,0,1,3,6.09330996178906,50.7835815131061
6,pingpon2_kupark,Pingpong,"Ping-pong area composed of several tables located in a pleasant and quiet environment, away from the children's playgrounds. The tables are set on a worn cement base that merges with patches of dirt, creating irregular terrain with some steps. Although the site has trash cans and side benches, the latter are somewhat far away, making them impractical for monitoring the game or leaving belongings while playing. Being located in an open area of the park, the facility is prone to drafts, a factor to take into account during matches.",2,0,1,3,6.09520787360785,50.7849675545058
7,minigolf_kupark,Minigolf,"This mini-golf course is integrated within the park and offers a course of 17 holes numbered in order. Although the facilities show a somewhat neglected or abandoned appearance, the circuit remains functional. The equipment rental service is usually managed at a nearby kiosk where drinks are also served, although it is possible to use the tracks even when it is closed if you have your own equipment. It is recommended to check their website for updated information on schedules and services.",1,0,1,5,6.09500929500342,50.7813766526062
8,volleyball_westpark,Volleyball,"Volleyball facility consisting of two courts located in a privileged natural setting, surrounded by trees that provide shade during most of the day. The playing surface is made of dirt, with its firmness varying according to the weather humidity, while the rest of the area remains green and wooded. One of the courts features a perimeter defined by embedded bricks, although some sections are covered by grass. The nets are functional, though they require manual adjustments for optimal tension. Since there are no benches available, players rest on the ground itself or on a small adjacent hill. It is an ideal space for recreational matches among friends, although its dirt surface is not recommended for competitive play that requires diving.",2,0,0,3,6.06645227146617,50.7713383690608
9,football_westpark,Football,"Futsal court located in a natural setting surrounded by trees, which ensures shade throughout much of the enclosure. The facility is equipped with iron goals and metal bar nets, all within a completely fenced perimeter with high protections behind the goals. The playing field, with dimensions well-defined by embedded bricks and a low fence, consists of compacted dirt; this surface prevents dust when there is ambient humidity, although puddles may appear after heavy rains. The site features a bench and a trash can, making the space suitable for matches of certain intensity, keeping in mind that the ground is abrasive. Its closed design ensures the ball does not stray far from the playing area.",1,0,1,4,6.06639350453512,50.7716445041452
10,pumptrack_westpark,Skating,"Recently built pumptrack circuit in excellent condition. The track features a high-quality abrasive surface that ensures optimal grip, making it ideal for both children and more experienced riders looking to take advantage of its banked curves and small access ramps. The circuit is located in an open, sunny area, completely surrounded by grass. While the track design does not allow for sitting on the edges or being used as a traditional skatepark, the surrounding area offers benches and trash cans nearby, where shade can be found depending on the time of day. A new, compact, and technical facility perfect for enjoying outdoor sports.",1,0,1,5,6.06619343299023,50.7722599809291
